gameid,qtr,min,sec,off,def,down,togo,ydline,description,offscore,defscore,season,,,
20120909_ATL@KC,3,24,3,ATL,KC,2,10,70,RUN,20,17,2012,,,
20120909_ATL@KC,1,45,37,KC,ATL,3,4,70,PASS,3,10,2012,,,
20120909_ATL@KC,2,30,3,KC,ATL,1,10,71,RUN,17,20,2012,,,
20120909_ATL@KC,3,28,52,KC,ATL,3,1,71,RUN,17,20,2012,,,
20120909_ATL@KC,3,23,26,ATL,KC,3,11,71,PASS,20,17,2012,,,
20120909_ATL@KC,1,58,41,ATL,KC,3,2,72,PASS,0,0,2012,,,
20120909_ATL@KC,2,41,33,ATL,KC,1,10,73,RUN,10,10,2012,,,
20120909_ATL@KC,4,3,1,KC,ATL,1,10,73,RUN,17,40,2012,,,
20120909_ATL@KC,1,59,22,ATL,KC,2,4,74,RUN,0,0,2012,,,
20120909_ATL@KC,1,53,5,KC,ATL,2,7,74,PASS,0,7,2012,,,
20120909_ATL@KC,4,12,52,KC,ATL,3,1,74,PASS,17,37,2012,,,
20120909_ATL@KC,4,7,43,KC,ATL,2,22,75,PASS,17,40,2012,,,
20120909_ATL@KC,4,7,40,KC,ATL,3,22,75,PASS,17,40,2012,,,
20120909_ATL@KC,4,3,16,ATL,KC,4,4,75,PUNT,40,17,2012,,,
20120909_ATL@KC,1,46,47,KC,ATL,1,10,76,RUN,3,10,2012,,,
20120909_ATL@KC,3,29,23,KC,ATL,2,6,76,RUN,17,20,2012,,,
20120909_ATL@KC,4,4,0,ATL,KC,3,5,76,RUN, D.Poe).,40,17,2012,,
20120909_ATL@KC,1,53,45,KC,ATL,1,10,77,RUN,0,7,2012,,,
20120909_ATL@KC,4,8,48,KC,ATL,1,10,77,PASS,17,40,2012,,,
20120909_ATL@KC,1,46,17,KC,ATL,2,11,77,RUN,3,10,2012,,,
20120909_ATL@KC,4,8,41,KC,ATL,2,10,77,RUN,17,40,2012,,,
20120909_ATL@KC,4,4,45,ATL,KC,2,8,79,RUN,40,17,2012,,,
20120909_ATL@KC,1,60,0,ATL,KC,1,10,80,RUN,0,0,2012,,,
20120909_ATL@KC,2,37,48,KC,ATL,1,10,80,RUN,10,17,2012,,,
20120909_ATL@KC,2,33,38,ATL,KC,1,10,80,PASS,17,17,2012,,,
20120909_ATL@KC,3,30,0,KC,ATL,1,10,80,RUN,17,20,2012,,,
20120909_ATL@KC,3,19,54,KC,ATL,1,10,80,RUN,17,27,2012,,,
20120909_ATL@KC,3,18,56,KC,ATL,1,10,80,PASS,17,34,2012,,,
20120909_ATL@KC,2,33,2,ATL,KC,2,10,80,PASS,17,17,2012,,,
20120909_ATL@KC,4,5,28,ATL,KC,1,10,81,RUN,40,17,2012,,,
20120909_ATL@KC,3,18,21,KC,ATL,2,11,81,RUN,17,34,2012,,,
20120909_ATL@KC,4,14,6,KC,ATL,1,10,83,RUN,17,37,2012,,,
20120909_ATL@KC,3,17,35,KC,ATL,3,14,84,PASS,17,34,2012,,,
20120909_ATL@KC,3,19,19,KC,ATL,2,15,85,PASS,17,27,2012,,,
20120909_ATL@KC,3,19,14,KC,ATL,3,15,85,PASS,17,27,2012,,,
20120909_ATL@KC,4,6,13,ATL,KC,2,4,86,RUN,40,17,2012,,,
20120909_ATL@KC,4,9,20,KC,ATL,3,6,86,PASS,17,40,2012,,,
20120909_ATL@KC,4,13,31,KC,ATL,2,14,87,RUN,17,37,2012,,,
20120909_ATL@KC,4,10,33,KC,ATL,1,10,90,RUN,17,40,2012,,,
20120909_ATL@KC,4,6,58,ATL,KC,1,10,92,RUN,40,17,2012,,,
20120909_ATL@KC,4,10,7,KC,ATL,2,12,92,RUN,17,40,2012,,,
